Date,Open,High,Low,Close,Adj Close,Volume
2024-02-29,840.000000,855.000000,825.000000,835.000000,835.000000,25862400
2024-03-01,835.000000,860.000000,820.000000,840.000000,840.000000,20028700
2024-03-04,845.000000,860.000000,825.000000,825.000000,825.000000,15445900
2024-03-05,825.000000,845.000000,810.000000,835.000000,835.000000,17881000
2024-03-06,835.000000,845.000000,825.000000,830.000000,830.000000,7362900
2024-03-07,830.000000,845.000000,820.000000,835.000000,835.000000,6071700
2024-03-08,835.000000,845.000000,820.000000,825.000000,825.000000,7948100
2024-03-13,825.000000,845.000000,815.000000,835.000000,835.000000,8877900
2024-03-14,840.000000,860.000000,835.000000,845.000000,845.000000,12120900
2024-03-15,845.000000,850.000000,835.000000,845.000000,845.000000,6630900
2024-03-18,845.000000,850.000000,835.000000,845.000000,845.000000,6863900
2024-03-19,845.000000,850.000000,825.000000,825.000000,825.000000,12111400
2024-03-20,825.000000,825.000000,805.000000,820.000000,820.000000,6319400
2024-03-21,820.000000,830.000000,810.000000,820.000000,820.000000,5755400
2024-03-22,820.000000,820.000000,805.000000,815.000000,815.000000,8460100
2024-03-25,820.000000,820.000000,805.000000,805.000000,805.000000,7948600
2024-03-26,825.000000,825.000000,725.000000,750.000000,750.000000,31878600
2024-03-27,750.000000,795.000000,745.000000,795.000000,795.000000,14954300
2024-03-28,805.000000,815.000000,785.000000,805.000000,805.000000,9058400
